a    +    *    (    )    $    E    T    F
d2   0    0    d1   0    0    5    4    3
d2   0    0    d1   0    0    6    4    3
r6   r6   r6   r6   r6   r6   0    0    0
r4   r4   r4   r4   r4   r4   0    0    0
r2   r2   d7   r2   r2   r2   0    0    0
0    d9   0    0    0    d8   0    0    0
0    d9   0    0    d10  0    0    0    0
d2   0    0    d1   0    0    0    0    11
0    0    0    0    0    acc  0    0    0
d2   0    0    d1   0    0    0    12   3
r5   r5   r5   r5   r5   r5   0    0    0
r3   r3   r3   r3   r3   r3   0    0    0
r1   r1   d7   r1   r1   r1   0    0    0
